resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
the characters are never more than sketches which leaves any true emotional connection or identification frustratingly out of reach,the characters are never more than sketches which leaves any true emotional connection or identification frustratingly out of reach,1
[stevens is] so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits,obstacles are too easily overcome and there isn't much in the way of character development in the script,0
family togetherness takes a back seat to inter-family rivalry and workplace ambition&#133 ; whole subplots have no explanation or even plot relevance,should have been worth cheering as a breakthrough but is devoid of wit and humor,0
a chilly remote emotionally distant piece so dull that its tagline should be : 'in space no one can hear you snore ',this is the kind of movie where the big scene is a man shot out of a cannon into a vat of ice cream,0
the film would work much better as a video installation in a museum where viewers would be free to leave immediately,the film takes too long getting to the good stuff then takes too long figuring out what to do next,0
a serious movie with serious ideas but seriously folks it doesn't work,a serious movie with serious ideas but seriously folks it doesn't work,1
this is junk food cinema at its greasiest,like its script which nurses plot holes gaping enough to pilot an entire olympic swim team through the characters in swimfan seem motivated by nothing short of dull brain-deadening hangover,0
sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser above its paint-by-numbers plot,sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser above its paint-by-numbers plot,1
there's an excellent 90-minute film here ; unfortunately it runs for 170,nothing more than a stifling morality tale dressed up in peekaboo clothing,0
i am sorry that i was unable to get the full brunt of the comedy,you have no affinity for most of the characters nothing about them is attractive what they see in each other also is difficult to fathom,0
time of favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,time of favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,1
